FID,REPORTDATE,BLOCKADD,OFFENSE
289,2018-01-19 00:00:00,4800 Block Thunderbird Dr,Burglary
290,2018-01-19 00:00:00,5100 Block S Boulder Rd,Auto Theft
291,2018-01-19 00:00:00,4600 Block Baseline Rd,Incident
292,2018-01-19 00:00:00,800 Block 28th St,Vandalism
293,2018-01-19 00:00:00,S 39th St & Table Mesa Dr,Trespassing
294,2018-01-31 00:00:00,1600 Block 28th St,Trespassing
295,2018-01-31 00:00:00,1600 Block 30th St,Vandalism
296,2018-01-31 00:00:00,3000 Block Walnut St,Vandalism
297,2018-02-01 00:00:00,2300 Block 20th St,Sex Assault
298,2018-02-02 00:00:00,900 Block University Ave,Burglary
299,2018-02-02 00:00:00,21st St & Canyon Bv,Motorcycle Theft
300,2018-02-02 00:00:00,800 Block 29th St,Vandalism
301,2018-02-02 00:00:00,700 Block Pine St,Vandalism
302,2018-02-02 00:00:00,1800 Block 28th St,Trespassing
303,2018-01-13 00:00:00,1200 Block Canyon Bv,Trespassing
304,2018-01-21 00:00:00,1300 Block College Ave,Trespassing
305,2018-01-25 00:00:00,2200 Block Norwood Ave,Vandalism
306,2018-01-24 00:00:00,4900 Block Moorhead Ave,Vandalism
307,2018-01-28 00:00:00,4100 Block 26th St,Theft Of Car Parts
308,2018-01-17 00:00:00,16th St & Aurora Ave,Indecent Exposure
309,2018-01-12 00:00:00,1500 Block Yaupon Ave,Theft From Vehicle
310,2018-01-17 00:00:00,1400 Block Pearl St,Vandalism
311,2018-01-17 00:00:00,Airport Rd & Valmont Rd,Theft From Vehicle
312,2018-01-17 00:00:00,1400 Block Canyon Bv,Trespassing
313,2018-01-17 00:00:00,600 Block Walnut St,Trespassing
314,2018-01-17 00:00:00,3300 Block Iris Ave,Burglary
315,2018-01-18 00:00:00,Crime occurred at an unknown location,Incident
316,2018-01-18 00:00:00,3100 Block Iron Forge Pl,Vandalism
317,2018-01-18 00:00:00,2500 Block Spruce St,Vandalism
318,2018-01-18 00:00:00,4900 Block Twin Lakes Rd,Auto Theft
319,2018-01-18 00:00:00,Lincoln Pl & University Ave,Auto Theft
320,2018-01-18 00:00:00,600 Block Pearl St,Assault
321,2018-01-19 00:00:00,1800 Block 28th St,Trespassing
322,2018-01-18 00:00:00,1800 Block 28th St,Trespassing
323,2018-01-19 00:00:00,1400 Block Canyon Bv,Trespassing
324,2018-01-20 00:00:00,5300 Block Gunbarrel Center Ct,Theft From Vehicle
325,2018-01-20 00:00:00,1600 Block Pine St,Vandalism
326,2018-01-20 00:00:00,2300 Block Pearl St,Theft From Vehicle
327,2018-01-20 00:00:00,1700 Block 38th St,Burglary
328,2018-01-20 00:00:00,1800 Block Broadway,Trespassing
329,2018-01-20 00:00:00,1600 Block Broadway,Trespassing
330,2018-01-20 00:00:00,3700 Block Iris Ave,Theft From Vehicle
331,2018-01-20 00:00:00,2900 Block Eagle Way,Trespassing
332,2018-01-21 00:00:00,900 Block Marine St,Incident
333,2018-01-21 00:00:00,1400 Block Spruce St,Assault
334,2018-01-21 00:00:00,1100 Block Pearl St,Trespassing
335,2018-01-21 00:00:00,1900 Block 11th St,Trespassing
336,2018-01-21 00:00:00,2900 Block E College Ave,Auto Theft
337,2018-01-23 00:00:00,4200 Block Monroe Dr,Theft From Vehicle
338,2018-01-23 00:00:00,1200 Block Canyon Bv,Trespassing
339,2018-01-23 00:00:00,4900 Block Thunderbird Cr,Incident
340,2018-01-23 00:00:00,1800 Block Folsom St,Theft From Vehicle
341,2018-01-23 00:00:00,600 Block Manhattan Pl,Motorcycle Theft
342,2018-01-23 00:00:00,1400 Block Findlay Way,Theft From Vehicle
343,2018-01-23 00:00:00,2600 Block Taft Dr,Auto Theft
344,2018-01-23 00:00:00,1100 Block Lee Hill Dr,Trespassing
345,2018-01-23 00:00:00,2200 Block Mariposa Ave,Burglary
346,2018-01-23 00:00:00,1400 Block Lee Hill Dr,Trespassing
347,2018-01-24 00:00:00,1400 Block Canyon Bv,Trespassing
348,2018-01-24 00:00:00,4800 Block Baseline Rd,Sex Assault
349,2018-01-24 00:00:00,1500 Block Greenbriar Blvd,Theft From Vehicle
350,2018-01-24 00:00:00,1400 Block Canyon Bv,Trespassing
351,2018-01-24 00:00:00,1600 Block 28th St,Trespassing
352,2018-01-25 00:00:00,2000 Block Arapahoe Ave,Theft From Vehicle
353,2018-01-22 00:00:00,1900 Block 11th St,Assault
354,2018-01-22 00:00:00,2900 Block Pearl St,Trespassing
355,2018-01-22 00:00:00,2900 Block Valmont Rd,Assault
356,2018-01-19 00:00:00,3100 Block 28th St,Theft From Vehicle
357,2018-01-20 00:00:00,3600 Block Chase Ct,Theft From Vehicle
358,2018-01-25 00:00:00,5500 Block Spine Rd,Incident
359,2018-01-27 00:00:00,2100 Block Mesa Dr,Incident
360,2018-01-27 00:00:00,2300 Block Canyon Bv,Trespassing
361,2018-01-27 00:00:00,3300 Block Madison Ave,Auto Theft
362,2018-01-27 00:00:00,Crime occurred at an unknown location,Incident
363,2018-01-27 00:00:00,600 Block S Lashley Ln,Auto Theft
364,2018-01-28 00:00:00,1100 Block Maxwell Ave,Theft From Vehicle
365,2018-01-28 00:00:00,2800 Block 13th St,Vandalism
366,2018-01-28 00:00:00,2500 Block Taft Dr,Theft From Vehicle
367,2018-01-28 00:00:00,700 Block 32nd St,Vandalism
368,2018-01-28 00:00:00,2200 Block Norwood Ave,Vandalism
369,2018-01-28 00:00:00,1400 Block Walnut St,Trespassing
370,2018-01-28 00:00:00,200 Block S 39th St,Trespassing
371,2018-01-28 00:00:00,2900 Block 14th St,Vandalism
372,2018-01-29 00:00:00,4700 Block Arapahoe Ave,Trespassing
373,2018-01-29 00:00:00,1000 Block Tantra Park Cr,Theft From Vehicle
374,2018-01-29 00:00:00,2900 Block Glenwood Dr,Vandalism
375,2018-01-11 00:00:00,4500 Block Brookfield Dr,Incident
376,2017-12-21 00:00:00,15th St & Pearl St,Trespassing
377,2018-01-31 00:00:00,1100 Block 35th St,Trespassing
378,2018-02-01 00:00:00,1300 Block College Ave,Vandalism
379,2018-02-03 00:00:00,14th St & Yellow Pine Ave,Incident
380,2018-02-05 00:00:00,4800 Block Thunderbird Cir,Vandalism
381,2018-02-05 00:00:00,4800 Block Thunderbird Dr,Sex Assault
382,2018-01-25 00:00:00,4800 Block Pennsylvania Ave,Theft From Vehicle
383,2018-01-25 00:00:00,4200 Block Amber St,Vandalism
384,2018-01-25 00:00:00,3000 Block Valmont Rd,Vandalism
385,2018-01-25 00:00:00,1900 Block 28th St,Theft From Vehicle
386,2018-01-25 00:00:00,1300 Block High St,Vandalism
387,2018-01-12 00:00:00,5600 Block Arapahoe Ave,Theft From Vehicle
388,2018-01-23 00:00:00,1700 Block Exposition Dr,Theft From Vehicle
389,2018-01-26 00:00:00,2500 Block Central Ave,Theft From Vehicle
390,2018-01-26 00:00:00,Crime occurred at an unknown location,Theft From Vehicle
391,2018-01-26 00:00:00,1700 Block 29th St,Trespassing
392,2018-01-26 00:00:00,200 Block Inca Py,Recovery
393,2018-01-26 00:00:00,1000 Block Albion Way,Theft From Vehicle
394,2018-01-30 00:00:00,1900 Block 28th St,Burglary
395,2018-01-30 00:00:00,4700 Block Walnut St,Vandalism
396,2018-01-30 00:00:00,1600 Block Commerce St,Vandalism
397,2018-01-30 00:00:00,1800 Block 28th St,Trespassing
398,2018-01-30 00:00:00,4600 Block Cloud Ct,Vandalism
399,2018-01-30 00:00:00,2800 Block Broadway,Incident
400,2018-01-30 00:00:00,5300 Block Gunbarrel Cir,Trespassing
401,2018-01-30 00:00:00,2900 Block Iris Ave,Auto Theft
402,2018-01-30 00:00:00,2600 Block Taft Dr,Theft From Vehicle
403,2018-01-31 00:00:00,1700 Block 30th St,Trespassing
404,2018-01-27 00:00:00,4600 Block Baseline Rd,Incident
405,2018-01-31 00:00:00,1700 Block 29th St,Sex Assault
406,2018-02-01 00:00:00,900 Block Walnut St,Vandalism
407,2018-02-01 00:00:00,1900 Block Pearl St,Vandalism
408,2018-02-01 00:00:00,1300 Block 28th St,Burglary
409,2018-02-01 00:00:00,3200 Block Broadway,Theft From Vehicle
410,2018-02-01 00:00:00,Crime occurred at an unknown location,Vandalism
411,2018-01-21 00:00:00,3900 Block 28th St,Incident
412,2018-02-05 00:00:00,2000 Block Pine St,Vandalism
413,2018-02-05 00:00:00,800 Block 28th St,Burglary
414,2018-02-08 00:00:00,1000 Block 15th St,Theft From Vehicle
